MusicsSelect,n,order
MusicListQ1.csv,1.0,1.0
MusicListQ2.csv,1.0,0.0
MusicListQ3.csv,1.0,2.0
MusicListQ4.csv,1.0,3.0

extraInfo
participant,20
session,2
trigger,True
date,2023-09-26_15h14.59.013
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.9974321097785
﻿MusicsSelect,n,order
MusicListQ1.csv,1.0,0.0
MusicListQ2.csv,1.0,3.0
MusicListQ3.csv,1.0,2.0
MusicListQ4.csv,1.0,1.0

extraInfo
participant,20
session,2
trigger,True
date,2023-09-26_15h14.59.013
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.9974321097785
