	Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)	AAL3
0	1	57.5	-4.5	1.5	7.291227876551831	34968	Temporal_Sup_R
1	1a	49.5	-14.5	3.5	7.051938503206899		Heschl_R
2	1b	65.5	-28.5	7.5	6.893035526410573		Temporal_Sup_R
3	1c	43.5	-24.5	5.5	6.823290962088701		Temporal_Sup_R
4	2	-58.5	-10.5	3.5	7.005290196542198	34376	Temporal_Sup_L
5	2a	-48.5	-16.5	1.5	6.954839937547325		Temporal_Sup_L
6	2b	-44.5	-22.5	7.5	6.749130957359523		Temporal_Sup_L
7	2c	-50.5	-0.5	-2.5	6.428436747085444		Temporal_Sup_L
8	3	15.5	-24.5	-4.5	5.838662983989549	952	Thal_MGN_R
9	4	-14.5	-26.5	-6.5	5.501538715232855	816	Undefined
10	5	11.5	-66.5	-52.5	5.353445456555967	2376	Cerebellum_8_R
11	5a	29.5	-60.5	-46.5	4.891141490984578		Cerebellum_8_R
12	5b	11.5	-76.5	-46.5	4.561592238202395		Cerebellum_7b_R
13	6	47.5	15.5	21.5	4.972255190223064	1040	Frontal_Inf_Tri_R
14	6a	59.5	15.5	23.5	3.8081477353363806		Frontal_Inf_Tri_R
15	7	-12.5	-80.5	-44.5	4.648071065843655	2416	Cerebellum_Crus2_L
16	7a	-14.5	-68.5	-52.5	4.536881270482317		Cerebellum_8_L
17	7b	-28.5	-60.5	-56.5	4.297467633247242		Cerebellum_8_L
18	7c	-14.5	-74.5	-50.5	4.195089099993355		Cerebellum_7b_L
19	8	-28.5	-60.5	-24.5	4.574867184074451	984	Cerebellum_6_L
20	9	1.5	1.5	75.5	4.559090129477803	1272	Undefined
21	10	13.5	-24.5	81.5	4.503647798509049	2104	Undefined
22	11	59.5	-4.5	45.5	4.401742581294909	1096	Precentral_R
23	12	17.5	-6.5	-14.5	4.400146321720964	360	Hippocampus_R
24	13	23.5	1.5	5.5	4.374466995726114	312	Putamen_R
25	14	51.5	29.5	1.5	4.323259662525282	520	Frontal_Inf_Tri_R
26	15	29.5	-56.5	-24.5	4.22603808881764	408	Cerebellum_6_R
27	16	-56.5	-4.5	47.5	4.180984443826226	800	Undefined
28	17	-16.5	-28.5	77.5	3.9534421356331695	264	Paracentral_Lobule_L
